"sample_date","sample_time","datetime","station_code","event_id","depth_m","volume_received_m_l","volume_analyzed_m_l","organisims_per_ml","percent_of_sample_counted","field_of_view_mm2","slide_chamber_area_mm2","area_counted","dimension","number_of_fields_counted","factor","comments","unit_abundance","total_cells","taxon","genus","species","synonym","diatom_soft_body","colony_filament_individual_group_code","shape","gald1","gald2","gald3","biovolume_1","biovolume_2","biovolume_3","biovolume_4","biovolume_5","biovolume_6","biovolume_7","biovolume_8","biovolume_9","biovolume_10","measurement_average","measurement_1","measurement_2","measurement_3","measurement_4","measurement_5","measurement_6","measurement_7","measurement_8","measurement_9","measurement_10","measurement_11","measurement_12","measurement_13","measurement_14","measurement_15","measurement_16","measurement_17","measurement_18","measurement_19","measurement_20","measurement_21","measurement_22","measurement_23","measurement_24","measurement_25"
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,1801.71910851038,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",2,2,"cf. Chlamydomonas sp.","Chlamydomonas","sp.",NA,"Soft Body","i","sphere",4.6,NA,NA,50.9649673733333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,900.859554255189,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",1,1,"Monoraphidium arcuatum","Monoraphidium","arcuatum",NA,"Soft Body","i","2 cones",29.6,NA,NA,34.871649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,1801.71910851038,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",2,2,"Monoraphidium minutum","Monoraphidium","minutum",NA,"Soft Body","i","2 cones",7.4,NA,NA,8.71791225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,1801.71910851038,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",2,2,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica",NA,"Soft Body","i","cone + half sphere",8,NA,NA,196.035216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,900.859554255189,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",1,1,"cf. Rhodomonas sp.","Rhodomonas","sp.",NA,"Soft Body","i","cone + half sphere",13,NA,NA,862.75915375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,389171.327438242,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",432,889,"Chroococcus microscopicus","Chroococcus","microscopicus",NA,"Soft Body","c","sphere",0.8,NA,NA,0.268082346666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-30,"10:24:00",2013-10-30 10:24:00,"LIS","LIS_2013-10-30 10:24:00",0,64,1,900.859554255189,0.015625,0.069746499,314.159,0.348732495,NA,5,900.859554255189,"Low sediment.",1,4,"Chroococcus minimus","Chroococcus","minimus",NA,"Soft Body","c","sphere",1.8,NA,NA,3.05362548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Girdle view. Low sediment and detritus. Many broken diatoms.",1,1,"Achnanthidium minutissimum","Achnanthidium","minutissimum",NA,"Diatom","i","elliptic prism",10.2,NA,NA,42.61880994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,128.694222036456,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",2,2,"Achnanthidium sp.","Achnanthidium","sp.",NA,"Diatom","i","elliptic prism",11.1,NA,NA,61.2869231175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,193.041333054683,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",3,3,"Aulacoseira cf. alpigena","Aulacoseira","alpigena",NA,"Diatom","i","cylinder",5.6,NA,NA,91.13124272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,193.041333054683,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",3,3,"Cocconeis placentula","Cocconeis","placentula",NA,"Diatom","i","elliptic prism",18.5,NA,NA,499.9722675375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,193.041333054683,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Fragment. Low sediment and detritus. Many broken diatoms.",3,3,"Cocconeis placentula","Cocconeis","placentula",NA,"Diatom","i","elliptic prism",11.1,NA,NA,238.696437405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,450.429777127595,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",7,7,"cf. Cyclotella sp.","Cyclotella","sp.",NA,"Diatom","i","cylinder",12,NA,NA,520.247304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"Cymbella turgidula","Cymbella","turgidula",NA,"Diatom","i","cymbelloid",28,NA,NA,328.176493984588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Broken. Low sediment and detritus. Many broken diatoms.",1,1,"Encyonema sp.","Encyonema","sp.",NA,"Diatom","i","cymbelloid",27,NA,NA,372.993065823581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"Eolimna subminuscula","Eolimna","subminuscula",NA,"Diatom","i","elliptic prism",10.2,NA,NA,84.75695661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"Geissleria decussis","Geissleria","decussis",NA,"Diatom","i","elliptic prism",22.57,NA,NA,734.582910068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"cf. Karayevia sp.","Karayevia","sp.",NA,"Diatom","i","elliptic prism",27.8,NA,NA,904.80305272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"Navicula sp.","Navicula","sp.",NA,"Diatom","i","elliptic prism",17.6,NA,NA,286.41247712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"Navicula tripunctata","Navicula","tripunctata",NA,"Diatom","i","elliptic prism",42.6,NA,NA,1188.42579792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"Nitzschia cf. agnita","Nitzschia","agnita",NA,"Diatom","i","prism on parallelogram",36,NA,NA,160.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,193.041333054683,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",3,3,"Nitzschia dissipata","Nitzschia","dissipata",NA,"Diatom","i","prism on parallelogram",38.9,NA,NA,266.2705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,128.694222036456,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Girdle view. Low sediment and detritus. Many broken diatoms.",2,2,"Nitzschia cf. sigma","Nitzschia","sigma",NA,"Diatom","i","prism on parallelogram",107.4,NA,NA,1684.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Small. Low sediment and detritus. Many broken diatoms.",1,1,"Nitzschia sp.","Nitzschia","sp.",NA,"Diatom","i","prism on parallelogram",11.1,NA,NA,75.9795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,128.694222036456,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",2,2,"Rhoicosphenia abbreviata","Rhoicosphenia","abbreviata",NA,"Diatom","i","gomphonemoid",9.3,NA,NA,229.05961008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,514.776888145822,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Fragment. Low sediment and detritus. Many broken diatoms.",8,8,"cf. Ulnaria sp.","Ulnaria","sp.",NA,"Diatom","i","elliptic prism",5.6,NA,NA,91.13124272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,128.694222036456,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",2,2,"Chlorella sp.","Chlorella","sp.",NA,"Soft Body","i","sphere",2.8,NA,NA,11.4940306133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"Monoraphidium arcuatum","Monoraphidium","arcuatum",NA,"Soft Body","i","2 cones",44.4,NA,NA,75.32276184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"Monoraphidium contortum","Monoraphidium","contortum",NA,"Soft Body","i","2 cones",18.5,NA,NA,7.846121025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,64.3471110182278,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",1,1,"Cryptomonas erosa","Cryptomonas","erosa",NA,"Soft Body","i","prolate spheroid",13,NA,NA,468.918959383333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,128.694222036456,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",2,2,"Cryptomonas ovata","Cryptomonas","ovata",NA,"Soft Body","i","prolate spheroid",20.4,NA,NA,1316.05603326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,514.776888145822,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",8,8,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica",NA,"Soft Body","i","cone + half sphere",8.5,NA,NA,264.809857083333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,23937.1252987807,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",372,913,"Chroococcus microscopicus","Chroococcus","microscopicus",NA,"Soft Body","c","sphere",0.8,NA,NA,0.268082346666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-10-31,"09:20:00",2013-10-31 09:20:00,"SHR","SHR_2013-10-31 09:20:00",0,60,10,193.041333054683,0.166666666666667,0.069746499,314.159,0.488225493,NA,7,64.3471110182278,"Low sediment and detritus. Many broken diatoms.",3,8,"Eucapsis cf. starmachii","Eucapsis","starmachii",NA,"Soft Body","c","prolate spheroid",1.9,NA,NA,3.59136096833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-11-05,"09:40:00",2013-11-05 09:40:00,"LIS","LIS_2013-11-05 09:40:00",0,63,3,300.286518085063,0.0476190476190476,0.069746499,314.159,0.348732495,NA,5,300.286518085063,"Fragment. Moderate sediment.",1,1,"Aulacoseira sp.","Aulacoseira","sp.",NA,"Diatom","i","cylinder",9.3,NA,NA,399.97781403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-11-05,"09:40:00",2013-11-05 09:40:00,"LIS","LIS_2013-11-05 09:40:00",0,63,3,900.859554255189,0.0476190476190476,0.069746499,314.159,0.348732495,NA,5,300.286518085063,"Moderate sediment.",3,3,"cf. Cyclotella sp.","Cyclotella","sp.",NA,"Diatom","i","cylinder",5.6,NA,NA,91.13124272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
